,Ant,Node,A Priori Status,Auto Metrics Flags,Dead Fraction in Ant Metrics (Jee),Dead Fraction in Ant Metrics (Jnn),Crossed Fraction in Ant Metrics,Flag Fraction Before Redcal,Flagged By Redcal $\chi^2$ Fraction,ee Shape Modified Z-Score,nn Shape Modified Z-Score,ee Power Modified Z-Score,nn Power Modified Z-Score,ee Temporal Variability Modified Z-Score,nn Temporal Variability Modified Z-Score,ee Temporal Discontinuties Modified Z-Score,nn Temporal Discontinuties Modified Z-Score,Average Dead Ant Metric (Jee),Average Dead Ant Metric (Jnn),Average Crossed Ant Metric,Median $\chi^2$ Per Antenna (Jee),Median $\chi^2$ Per Antenna (Jnn)
46,100,7,digital_ok,1.0,0.0,0.0,0.0,0.0,0.0,3.4272831494195453,1.535255278582283,-0.8423684980825125,0.707968689794826,-0.3121788037125558,8.564456714666713,4.145975977007231,17.86623440634872,0.7996615838913959,0.7504476831428066,0.3998300213955201,1.2441601753234863,1.0579952001571655
47,101,8,RF_maintenance,1.0,0.0,1.0,0.0,1.0,0.0,-0.3640165738057037,30.27787767441081,0.9018801936093462,18.170381663951524,1.0748180244880567,36.49513176133809,1.8917556616361872,13.633495627563189,0.8096769201863162,0.045818273802620366,0.7301048071398594,2.3917497992515564,1.2074497938156128
48,102,8,digital_ok,1.0,0.0,0.0,0.0,0.0,0.0,0.06757955265581009,1.1663868964604989,-0.9106240107781544,0.3461575984485399,3.3200200729881786,-1.1100811099400705,5.576683524095695,-1.1016651504442576,0.8064732459646368,0.7633648858577068,0.39497902943963814,1.199672669172287,1.0597801506519318
49,103,8,digital_ok,0.0,0.0,0.0,0.0,0.0,0.0,0.9971187617746096,3.732147486660677,0.2306573826383237,-0.849911762179334,0.4134604863886969,-0.13242085118445526,-0.7984649977023452,2.7481147029923534,0.8061576635904766,0.7491688465697761,0.39741308702568706,1.3065206706523895,1.0899716317653656
50,104,8,digital_ok,1.0,0.0,0.0,0.0,0.0,0.0,0.5556516500377857,-0.6275259857918489,-0.8452491926676509,0.8994980683839755,3.9359686836713075,6.219635695964951,14.642850172300239,3.273317454141381,0.8023148993619807,0.7585629145023431,0.3937764666214608,1.0869164764881134,0.9769083708524704
51,105,9,RF_ok,1.0,0.0,0.0,0.0,0.4972972972972973,0.0,1.4238142836307803,1.5998883496922565,3.2839902499081015,4.498297742268698,3.3018654916749646,5.99217967374867,-1.4660010981789566,-2.0036449359411677,0.8062392476769015,0.7646200493551243,0.39351083743106097,1.4651400446891785,1.834396630525589
52,107,9,RF_ok,1.0,0.0,0.0,0.0,0.0,0.0,4.665115211710099,1.2637593046836562,0.02272440755577193,-0.40033916404582864,5.276411694079179,3.7318142386144184,44.31650810096173,18.229689287194862,0.7865480389276567,0.75624218575172,0.4056149273117335,1.0982238948345184,1.007859230041504
53,108,9,RF_ok,0.0,0.0,0.0,0.0,0.0,0.0,-0.5731276708568919,3.3132649520356194,-0.13394968366802432,-0.5672830118989162,-0.6735877292447344,-1.0962474185893916,-0.32364272808647276,-0.29725659039130814,0.7875909424455861,0.7492361949275236,0.4090405518310005,1.2156290709972382,1.1571733951568604
54,109,10,RF_ok,0.0,0.0,0.0,0.0,0.0,0.0,0.39204033211516054,2.8428334993935374,-0.022222238036904256,0.5239429563990863,-0.12213573942803928,-0.010712975688301134,0.6251497265437095,0.13501388547015594,0.7864248827414005,0.7395066393349329,0.41908847479614586,1.396740585565567,1.2673413455486298
55,110,10,RF_maintenance,1.0,0.0,0.0,0.0,1.0,0.0,28.00191208009012,49.05755158275879,-0.12446136777489968,3.893117162051084,33.757027480503965,16.340018510946194,14.608669867607073,16.538996738059485,0.6903097221321538,0.6183864134269925,0.288830117881265,4.1924192905426025,3.786287844181061
56,111,10,RF_ok,0.0,0.0,0.0,0.0,0.0,0.0,0.43954915072923234,-0.41469752155880724,0.11516844767142034,0.38379062774875616,0.2973873170910327,2.337886301453625,-0.10043779368821842,3.4112123327569397,0.7698046942084414,0.7344450004405695,0.4365308639536316,1.4189730286598206,1.242198646068573
57,112,10,RF_ok,1.0,0.0,0.0,0.0,0.17297297297297298,0.010810810810810811,51.31407013800019,-0.35182329284535346,0.352198647257095,-0.8261152623020518,14.765931502698267,0.06121603189659676,0.3587360540330942,1.625498497494665,0.647688079508746,0.7222038780040371,0.44329405649387493,2.0901052951812744,1.3088844418525696
58,116,7,RF_maintenance,1.0,1.0,1.0,0.0,1.0,0.0,34.416270260903005,37.446027510335526,17.707500176935035,18.430806074839943,29.430804961371603,37.40054475006628,9.962095977500358,13.857699667056753,0.04423951715547003,0.03744538946526748,0.004436951855893833,1.3183846175670624,1.3373576998710632
